FrameCount,Breath Period (sec),Walking Pace (Hz)
626,2.0,1.8785943
627,2.0,1.8755981
628,3.0,1.8726115
629,2.0,1.8696344
630,2.0,1.8666667
631,2.0,1.8637084
632,2.0,1.8607595
633,2.0,1.8578199
634,2.0,1.8548896
635,3.0,1.8519685
636,2.0,1.8490566
637,2.0,1.8461539
638,4.0,1.8432602
639,4.0,1.8419405
640,4.0,1.8390625
641,4.0,1.8361934
642,7.0,1.8333334
643,7.0,1.8304821
644,7.0,1.8276397
645,7.0,1.8248062
646,7.0,1.8219814
647,7.0,1.8191653
648,7.0,1.816358
649,7.0,1.8135593
650,7.0,1.8107692
651,7.0,1.8079877
652,19.0,1.8052148
653,19.0,1.8024502
654,3.0,1.7996942
655,3.0,1.7969465
656,3.0,1.7942073
657,3.0,1.7914764
658,3.0,1.7887537
659,3.0,1.7860395
660,3.0,1.7833333
661,3.0,1.7836611
662,3.0,1.7839879
663,18.0,1.7828054
664,18.0,1.7831326
665,18.0,1.7834586
666,18.0,1.7822822
667,8.0,1.7826087
668,8.0,1.7829342
669,3.0,1.7832586
670,3.0,1.7835821
671,3.0,1.7839047
672,3.0,1.7842262
673,8.0,1.7860327
674,2.0,1.7863501
675,2.0,1.7851852
